tanggal,waktu,Tinggi Gelombang\m,Curah Hujan\m,Kecepatan Angin m/s
7/1/2025,1:00:00 AM,0.16614103,2.00E-05,0.516266316
7/1/2025,2:00:00 AM,0.6965153,0,3.159308322
7/1/2025,2:00:00 AM,0.5186589,0,2.219492515
7/1/2025,2:00:00 AM,0.37559247,0,0.972122209
7/1/2025,2:00:00 AM,0.5270817,0,3.778133469
7/1/2025,2:00:00 AM,0.5879948,0,3.970065749
7/1/2025,2:00:00 AM,0.6373112,0,3.279749477
7/1/2025,2:00:00 AM,0.6171696,0,3.076571215
7/1/2025,2:00:00 AM,0.3544743,0,1.172277728
7/1/2025,2:00:00 AM,0.5337956,8.58E-06,3.956735699
7/1/2025,2:00:00 AM,0.56187177,0,3.580085904
7/1/2025,2:00:00 AM,0.5616276,0,2.222339631
7/1/2025,2:00:00 AM,0.5156071,0,3.16833546
7/1/2025,2:00:00 AM,0.27659345,1.10E-05,4.776845224
7/1/2025,2:00:00 AM,0.2607243,3.86E-05,3.265484268
7/1/2025,2:00:00 AM,0.5337956,0,3.933292711
7/1/2025,2:00:00 AM,0.5264714,0,4.515929993
7/1/2025,2:00:00 AM,0.46787763,0,3.952449325
7/1/2025,2:00:00 AM,0.36362958,0,1.724296669
7/1/2025,2:00:00 AM,0.39500165,0,5.464438062
7/1/2025,2:00:00 AM,0.498029,0,3.379117039
7/1/2025,2:00:00 AM,0.5272038,0,4.040263702
7/1/2025,2:00:00 AM,0.49412274,0,5.07542182
7/1/2025,2:00:00 AM,0.3902409,0,4.833843883
7/1/2025,2:00:00 AM,0.23679852,0,2.386755545
7/1/2025,2:00:00 AM,0.4856999,0,3.239362076
7/1/2025,2:00:00 AM,0.5231755,0,3.572015185
7/1/2025,2:00:00 AM,0.4827702,0,3.534855328
7/1/2025,2:00:00 AM,0.34397626,0,2.224397032
7/1/2025,2:00:00 AM,0.4437077,0,2.655498199
7/1/2025,2:00:00 AM,0.48923993,0,2.656812679
7/1/2025,2:00:00 AM,0.45298505,0,2.949981596
7/1/2025,2:00:00 AM,0.2837956,0,3.836582394
7/1/2025,2:00:00 AM,0.33701825,0,2.594398461
7/1/2025,2:00:00 AM,0.44529462,0,3.132898642
7/1/2025,2:00:00 AM,0.42918134,0,4.019077734
7/1/2025,2:00:00 AM,0.45701337,0,2.927811783
7/1/2025,2:00:00 AM,0.46641278,0,3.270257779
7/1/2025,2:00:00 AM,0.4120915,0,3.050978671
7/1/2025,2:00:00 AM,0.14780927,7.15E-06,1.056789654
7/1/2025,2:00:00 AM,0.5862858,0,4.277672111
7/1/2025,2:00:00 AM,0.5690739,0,5.202545778
7/1/2025,2:00:00 AM,0.5386784,0,5.700685845
7/1/2025,2:00:00 AM,0.44114423,0,4.37978043
7/1/2025,2:00:00 AM,0.19944501,0,1.544147222
7/1/2025,2:00:00 AM,0.16306806,1.72E-05,0.858183556
7/1/2025,3:00:00 AM,0.6474952,0,3.654817667
7/1/2025,3:00:00 AM,0.48685068,0,3.100815082
7/1/2025,3:00:00 AM,0.35940927,0,3.105095708
7/1/2025,3:00:00 AM,0.5106544,0,3.500061466
7/1/2025,3:00:00 AM,0.5676612,0,4.709090261
7/1/2025,3:00:00 AM,0.60586923,0,4.003172098
7/1/2025,3:00:00 AM,0.5703468,0,3.486822147
7/1/2025,3:00:00 AM,0.3337745,0,1.054347653
7/1/2025,3:00:00 AM,0.5184669,0,4.076388591
7/1/2025,3:00:00 AM,0.539463,0,4.175302411
7/1/2025,3:00:00 AM,0.5253028,0,3.22047203
7/1/2025,3:00:00 AM,0.46475595,0,1.690312344
7/1/2025,3:00:00 AM,0.26980966,2.38E-06,3.593547778
7/1/2025,3:00:00 AM,0.27017587,4.15E-05,2.728259755
7/1/2025,3:00:00 AM,0.5155372,0,4.018016263
7/1/2025,3:00:00 AM,0.50345224,0,4.78153119
7/1/2025,3:00:00 AM,0.44412607,0,5.089337934
7/1/2025,3:00:00 AM,0.32742685,0,0.993031705
7/1/2025,3:00:00 AM,0.3790626,0,4.614277855
7/1/2025,3:00:00 AM,0.48453134,0,3.641024781
7/1/2025,3:00:00 AM,0.50674814,0,4.116322399
7/1/2025,3:00:00 AM,0.47049326,0,4.921476694
7/1/2025,3:00:00 AM,0.37320322,0,5.422537073
7/1/2025,3:00:00 AM,0.22427744,0,1.844913229
7/1/2025,3:00:00 AM,0.47806162,0,3.517414727
7/1/2025,3:00:00 AM,0.50223154,0,3.714047186
7/1/2025,3:00:00 AM,0.45560068,0,3.806261159
7/1/2025,3:00:00 AM,0.32999033,0,3.295755979
7/1/2025,3:00:00 AM,0.43814462,0,2.933315181
7/1/2025,3:00:00 AM,0.47305673,0,3.00786656
7/1/2025,3:00:00 AM,0.43338388,0,3.500130991
7/1/2025,3:00:00 AM,0.27518076,0,4.154122642
7/1/2025,3:00:00 AM,0.3304786,0,2.887023619
7/1/2025,3:00:00 AM,0.43753427,0,3.573021498
7/1/2025,3:00:00 AM,0.4250831,0,4.520293266
7/1/2025,3:00:00 AM,0.4551124,0,4.012086374
7/1/2025,3:00:00 AM,0.46805185,0,4.189985486
7/1/2025,3:00:00 AM,0.41263193,0,3.503867638
7/1/2025,3:00:00 AM,0.14554209,8.58E-06,0.947164452
7/1/2025,3:00:00 AM,0.5821876,0,5.068202973
7/1/2025,3:00:00 AM,0.5784034,0,5.978704705
7/1/2025,3:00:00 AM,0.553379,0,6.191509465
7/1/2025,3:00:00 AM,0.44046396,0,4.652801876
7/1/2025,3:00:00 AM,0.2108497,0,2.095238498
7/1/2025,3:00:00 AM,0.16006845,1.72E-05,0.682545715
7/1/2025,4:00:00 AM,0.6087959,0,4.6614906
7/1/2025,4:00:00 AM,0.456208,0,2.880093996
7/1/2025,4:00:00 AM,0.34121776,0,3.691596365
7/1/2025,4:00:00 AM,0.49307323,0,4.025936426
7/1/2025,4:00:00 AM,0.54812694,0,4.194237492
7/1/2025,4:00:00 AM,0.57925487,0,4.305964415
7/1/2025,4:00:00 AM,0.5288398,0,3.730124277
7/1/2025,4:00:00 AM,0.31704783,4.77E-07,1.530229652
7/1/2025,4:00:00 AM,0.4980781,0,3.592439288
7/1/2025,4:00:00 AM,0.5177314,0,4.463563851
7/1/2025,4:00:00 AM,0.49844432,0,3.770493015
7/1/2025,4:00:00 AM,0.4204414,0,0.878012469
7/1/2025,4:00:00 AM,0.2567451,9.54E-07,2.372591029
7/1/2025,4:00:00 AM,0.27066112,2.62E-05,1.575708151
7/1/2025,4:00:00 AM,0.4947822,0,3.730619599
7/1/2025,4:00:00 AM,0.48135448,0,4.863069146
7/1/2025,4:00:00 AM,0.42520213,0,4.968276142
7/1/2025,4:00:00 AM,0.30056834,0,2.004660348
7/1/2025,4:00:00 AM,0.34536815,0,2.513630424
7/1/2025,4:00:00 AM,0.47293162,0,4.068503669
7/1/2025,4:00:00 AM,0.48941112,0,4.235875192
7/1/2025,4:00:00 AM,0.4520576,0,4.580284641
7/1/2025,4:00:00 AM,0.3664863,0,5.215480831
7/1/2025,4:00:00 AM,0.20706248,0,1.247884078
7/1/2025,4:00:00 AM,0.4692695,0,3.763019314
7/1/2025,4:00:00 AM,0.48342967,0,3.859408149
7/1/2025,4:00:00 AM,0.43216014,0,3.857370189
7/1/2025,4:00:00 AM,0.31778026,0,3.91195389
7/1/2025,4:00:00 AM,0.42849803,0,3.025181315
7/1/2025,4:00:00 AM,0.45437694,0,3.304263704
7/1/2025,4:00:00 AM,0.41824412,0,3.910404233
7/1/2025,4:00:00 AM,0.26724315,0,4.372716981
7/1/2025,4:00:00 AM,0.3274238,0,3.091089104
7/1/2025,4:00:00 AM,0.4286201,0,3.677230324
7/1/2025,4:00:00 AM,0.42105174,0,4.535832915
7/1/2025,4:00:00 AM,0.4602363,0,4.690128396
7/1/2025,4:00:00 AM,0.47622752,0,4.69757407
7/1/2025,4:00:00 AM,0.41348338,0,3.792082388
7/1/2025,4:00:00 AM,0.1416328,9.06E-06,0.501859041
7/1/2025,4:00:00 AM,0.5869453,0,5.525720152
7/1/2025,4:00:00 AM,0.59707713,0,6.255944404
7/1/2025,4:00:00 AM,0.56985545,0,6.4919014
7/1/2025,4:00:00 AM,0.44070506,4.77E-07,4.897600541
7/1/2025,4:00:00 AM,0.21682811,4.77E-07,2.44041013
7/1/2025,4:00:00 AM,0.15737987,1.10E-05,0.423110642
7/1/2025,5:00:00 AM,0.58018357,0,5.244335224
7/1/2025,5:00:00 AM,0.4279619,0,2.924136778
7/1/2025,5:00:00 AM,0.3193193,0,3.325869544
7/1/2025,5:00:00 AM,0.47508103,0,3.517278341
7/1/2025,5:00:00 AM,0.5278154,0,3.811029705
7/1/2025,5:00:00 AM,0.5578447,0,4.746860589
7/1/2025,5:00:00 AM,0.4944902,0,3.809242429
7/1/2025,5:00:00 AM,0.30186325,0,1.925147579
7/1/2025,5:00:00 AM,0.47715622,0,3.155058997
7/1/2025,5:00:00 AM,0.49473435,0,3.751372908
7/1/2025,5:00:00 AM,0.469832,0,4.373206493
7/1/2025,5:00:00 AM,0.38365036,0,1.258243722
7/1/2025,5:00:00 AM,0.24400192,9.54E-07,1.597337233
7/1/2025,5:00:00 AM,0.2687822,1.29E-05,1.174937412
7/1/2025,5:00:00 AM,0.47544724,0,3.568210155
7/1/2025,5:00:00 AM,0.46092087,0,4.443112571
7/1/2025,5:00:00 AM,0.41416794,0,5.12801519
7/1/2025,5:00:00 AM,0.2918535,0,3.230231651
7/1/2025,5:00:00 AM,0.31846482,0,1.567481938
7/1/2025,5:00:00 AM,0.4673906,0,4.880486865
7/1/2025,5:00:00 AM,0.47825485,0,4.780435613
7/1/2025,5:00:00 AM,0.43638474,0,4.507629838
7/1/2025,5:00:00 AM,0.36350876,0,4.961308563
7/1/2025,5:00:00 AM,0.19615036,0,1.385270113
7/1/2025,5:00:00 AM,0.46262985,0,4.444132847
7/1/2025,5:00:00 AM,0.46958786,0,4.414464339
7/1/2025,5:00:00 AM,0.41441208,0,4.011894331
7/1/2025,5:00:00 AM,0.30601364,0,4.026561293
7/1/2025,5:00:00 AM,0.4221025,0,3.586459493
7/1/2025,5:00:00 AM,0.44248825,0,3.969144498
7/1/2025,5:00:00 AM,0.40782028,0,4.450798598
7/1/2025,5:00:00 AM,0.26438767,0,4.467725112
7/1/2025,5:00:00 AM,0.3279863,0,3.418065952
7/1/2025,5:00:00 AM,0.4213701,0,3.814634802
7/1/2025,5:00:00 AM,0.4172197,0,4.644457784
7/1/2025,5:00:00 AM,0.47044235,0,4.768174277
7/1/2025,5:00:00 AM,0.48704392,0,4.701755271
7/1/2025,5:00:00 AM,0.4205156,0,3.902557311
7/1/2025,5:00:00 AM,0.13706833,1.91E-06,0.639586364
7/1/2025,5:00:00 AM,0.5934892,0,5.377334668
7/1/2025,5:00:00 AM,0.6078935,0,5.901728065
7/1/2025,5:00:00 AM,0.5776201,0,6.281280302
7/1/2025,5:00:00 AM,0.43394333,1.14E-05,4.731386846
7/1/2025,5:00:00 AM,0.21751267,1.14E-05,2.63275259
7/1/2025,5:00:00 AM,0.15525681,1.14E-05,0.415441291
7/1/2025,6:00:00 AM,0.5630565,0,5.965594117
7/1/2025,6:00:00 AM,0.4057079,0,2.841497373
7/1/2025,6:00:00 AM,0.29975086,0,3.011425183
7/1/2025,6:00:00 AM,0.45697743,0,2.603631254
7/1/2025,6:00:00 AM,0.50287586,0,3.143674509
7/1/2025,6:00:00 AM,0.5332714,0,4.35228088
7/1/2025,6:00:00 AM,0.46832997,0,4.014145274
7/1/2025,6:00:00 AM,0.2926708,0,2.225170147
7/1/2025,6:00:00 AM,0.45770985,0,2.810769348
